Run,Trial,Condition,Onset,Duration,ISI,Context,Emotion,Order,ContextFile,FaceFile,FaceNum,Gender
2,42,3,334.9497,5,5.5861,Pleasant,Neutral,1,5202.jpg,39M_N.png,39,Male
2,43,2,345.5357,5,2.4592,Pleasant,Fearful,1,2070.jpg,09F_F.png,09,Female
2,44,4,352.9949,5,3.5498,Unpleasant,Fearful,1,9426.jpg,34M_F.png,34,Male
2,45,3,361.5447,5,3.329,Pleasant,Neutral,1,7492.jpg,02F_N.png,02,Female
2,46,1,369.8737,5,3.9696,Pleasant,Happy,1,8210.jpg,16F_H.png,16,Female
2,47,6,378.8434,5,3.2567,Unpleasant,Neutral,1,9427.jpg,10F_N.png,10,Female
2,48,5,387.1001,5,2.0584,Unpleasant,Happy,1,3180.jpg,30M_H.png,30,Male
2,49,4,394.1585,5,2.7748,Unpleasant,Fearful,1,9452.jpg,17F_F.png,17,Female
2,50,6,401.9333,5,3.2823,Unpleasant,Neutral,1,9903.jpg,20M_N.png,20,Male
2,51,2,410.2156,5,2.0157,Pleasant,Fearful,1,2332.jpg,33M_F.png,33,Male
2,52,5,417.2313,5,3.8205,Unpleasant,Happy,1,9120.jpg,02F_H.png,02,Female
2,53,3,426.0517,5,4.3063,Pleasant,Neutral,1,8540.jpg,08F_N.png,08,Female
2,54,1,435.3581,5,2.4121,Pleasant,Happy,1,5780.jpg,03F_H.png,03,Female
2,55,2,442.7702,5,2.4994,Pleasant,Fearful,1,2058.jpg,05F_F.png,05,Female
2,56,5,450.2696,5,2.2657,Unpleasant,Happy,1,2141.jpg,29M_H.png,29,Male
2,57,3,457.5353,5,2.3653,Pleasant,Neutral,1,5760.jpg,26M_N.png,26,Male
2,58,6,464.9006,5,2.6134,Unpleasant,Neutral,1,6242.jpg,35M_N.png,35,Male
2,59,2,472.5141,5,2.2078,Pleasant,Fearful,1,8461.jpg,30M_F.png,30,Male
2,60,1,479.7219,5,5.3128,Pleasant,Happy,1,2360.jpg,24M_H.png,24,Male
2,61,6,490.0346,5,2.978,Unpleasant,Neutral,1,9611.jpg,14F_N.png,14,Female
2,62,4,498.0127,5,4.5838,Unpleasant,Fearful,1,9295.jpg,02F_F.png,02,Female
2,63,5,507.5965,5,3.6315,Unpleasant,Happy,1,9185.jpg,22M_H.png,22,Male
2,64,6,516.2279,5,3.6529,Unpleasant,Neutral,1,6571.jpg,15F_N.png,15,Female
2,65,5,524.8809,5,3.3734,Unpleasant,Happy,1,9428.jpg,18F_H.png,18,Female
2,66,4,533.2543,5,3.2572,Unpleasant,Fearful,1,9424.jpg,01F_F.png,01,Female
2,67,2,541.5116,5,3.7773,Pleasant,Fearful,1,1463.jpg,19F_F.png,19,Female
2,68,3,550.2889,5,3.0375,Pleasant,Neutral,1,2388.jpg,43M_N.png,43,Male
2,69,4,558.3264,5,3.2413,Unpleasant,Fearful,1,9330.jpg,39M_F.png,39,Male
2,70,6,566.5677,5,2.7144,Unpleasant,Neutral,1,6200.jpg,16F_H.png,16,Female
2,71,2,574.2821,5,2.4592,Pleasant,Fearful,1,5200.jpg,40M_N.png,40,Male
2,72,1,581.7413,5,10,Pleasant,Happy,1,2156.jpg,07F_H.png,07,Female
3,1,1,10,5,3.6592,Pleasant,Happy,1,2070.jpg,06F_H.png,06,Female
3,2,2,18.6592,5,2.9081,Pleasant,Fearful,1,1920.jpg,18F_F.png,18,Female
3,3,6,26.5673,5,3.1544,Unpleasant,Neutral,1,9419.jpg,40M_N.png,40,Male
3,4,3,34.7217,5,2.5404,Pleasant,Neutral,1,2388.jpg,29M_N.png,29,Male
3,5,5,42.2621,5,2.658,Unpleasant,Happy,1,2141.jpg,10F_H.png,10,Female
3,6,1,49.92,5,2.1059,Pleasant,Happy,1,1460.jpg,41M_H.png,41,Male
3,7,4,57.0259,5,2.6511,Unpleasant,Fearful,1,6242.jpg,08F_F.png,08,Female
3,8,2,64.677,5,2.3106,Pleasant,Fearful,1,5836.jpg,36M_F.png,36,Male
3,9,1,71.9876,5,2.8834,Pleasant,Happy,1,8210.jpg,03F_H.png,03,Female
3,10,6,79.871,5,4.5838,Unpleasant,Neutral,1,9330.jpg,07F_N.png,07,Female
3,11,3,89.4548,5,2.5543,Pleasant,Neutral,1,4622.jpg,08F_N.png,08,Female
3,12,5,97.0091,5,2.6722,Unpleasant,Happy,1,2703.jpg,36M_H.png,36,Male
3,13,4,104.6813,5,2.0844,Unpleasant,Fearful,1,9452.jpg,05F_F.png,05,Female
3,14,3,111.7657,5,4.1544,Pleasant,Neutral,1,5202.jpg,12F_N.png,12,Female
3,15,6,120.9201,5,3.4067,Unpleasant,Neutral,1,9220.jpg,16F_N.png,16,Female
3,16,2,129.3268,5,3.7009,Pleasant,Fearful,1,7480.jpg,10F_F.png,10,Female
3,17,5,138.0277,5,2.9949,Unpleasant,Happy,1,9905.jpg,37M_H.png,37,Male
3,18,4,146.0226,5,2.2078,Unpleasant,Fearful,1,9611.jpg,30M_F.png,30,Male
3,19,1,153.2304,5,2.4654,Pleasant,Happy,1,8380.jpg,18F_H.png,18,Female
3,20,6,160.6959,5,2.1156,Unpleasant,Neutral,1,6571.jpg,35M_N.png,35,Male
3,21,2,167.8115,5,4.1,Pleasant,Fearful,1,2058.jpg,28M_F.png,28,Male
3,22,5,176.9115,5,2.3072,Unpleasant,Happy,1,9491.jpg,21M_H.png,21,Male
3,23,3,184.2188,5,2.033,Pleasant,Neutral,1,8540.jpg,14F_N.png,14,Female
3,24,3,191.2518,5,3.9648,Pleasant,Neutral,1,7492.jpg,20M_N.png,20,Male
3,25,4,200.2166,5,4.0623,Unpleasant,Fearful,1,9427.jpg,12F_F.png,12,Female
3,26,5,209.2789,5,3.7016,Unpleasant,Happy,1,2053.jpg,22M_H.png,22,Male
3,27,6,217.9805,5,3.4349,Unpleasant,Neutral,1,6200.jpg,34M_N.png,34,Male
3,28,4,226.4154,5,3.1595,Unpleasant,Fearful,1,2456.jpg,13F_F.png,13,Female
3,29,1,234.5749,5,4.7564,Pleasant,Happy,1,2050.jpg,35M_H.png,35,Male
3,30,2,244.3313,5,2.3646,Pleasant,Fearful,1,5829.jpg,17F_F.png,17,Female
3,31,5,251.696,5,2.8893,Unpleasant,Happy,1,9342.jpg,23M_H.png,23,Male
3,32,3,259.5852,5,2.5862,Pleasant,Neutral,1,2360.jpg,42M_N.png,42,Male
3,33,4,267.1714,5,2.1009,Unpleasant,Fearful,1,9520.jpg,07F_F.png,07,Female
3,34,1,274.2723,5,2.0502,Pleasant,Happy,1,8496.jpg,17F_H.png,17,Female
3,35,2,281.3225,5,2.9949,Pleasant,Fearful,1,5780.jpg,42M_F.png,42,Male
3,36,3,289.3174,5,3.615,Pleasant,Neutral,1,5831.jpg,32M_N.png,32,Male
3,37,4,297.9324,5,3.2823,Unpleasant,Fearful,1,2301.jpg,31M_F.png,31,Male
3,38,6,306.2147,5,4.3063,Unpleasant,Neutral,1,6311.jpg,37M_N.png,37,Male
3,39,5,315.521,5,2.6911,Unpleasant,Happy,1,9120.jpg,02F_H.png,02,Female
3,40,1,323.2121,5,2.0076,Pleasant,Happy,1,5760.jpg,01F_H.png,01,Female
3,41,1,330.2198,5,4.1616,Pleasant,Happy,1,5811.jpg,14F_H.png,14,Female
3,42,3,339.3814,5,2.7132,Pleasant,Neutral,1,2341.jpg,02F_N.png,02,Female
3,43,2,347.0946,5,5.5861,Pleasant,Fearful,1,2311.jpg,01F_F.png,01,Female
3,44,4,357.6807,5,3,Unpleasant,Fearful,1,3230.jpg,24M_F.png,24,Male
3,45,3,365.6807,5,3.5498,Pleasant,Neutral,1,1441.jpg,18F_N.png,18,Female
3,46,1,374.2305,5,2.4874,Pleasant,Happy,1,1604.jpg,07F_H.png,07,Female
3,47,6,381.7179,5,3.3059,Unpleasant,Neutral,1,2900.jpg,39M_N.png,39,Male
3,48,5,390.0238,5,2.3238,Unpleasant,Happy,1,9424.jpg,19F_H.png,19,Female
3,49,4,397.3476,5,3.0805,Unpleasant,Fearful,1,2345.1.jpg,02F_F.png,02,Female
3,50,6,405.4281,5,2.0498,Unpleasant,Neutral,1,9007.jpg,10F_N.png,10,Female
3,51,2,412.478,5,2.4075,Pleasant,Fearful,1,5200.jpg,27M_F.png,27,Male
3,52,5,419.8854,5,3.1448,Unpleasant,Happy,1,2205.jpg,25M_H.png,25,Male
3,53,3,428.0302,5,2.4226,Pleasant,Neutral,1,8461.jpg,06F_N.png,06,Female
3,54,1,435.4528,5,3.4135,Pleasant,Happy,1,2332.jpg,24M_H.png,24,Male
3,55,2,443.8663,5,2.0498,Pleasant,Fearful,1,2314.jpg,33M_F.png,33,Male
3,56,5,450.9161,5,2.503,Unpleasant,Happy,1,9145.jpg,30M_H.png,30,Male
3,57,3,458.4192,5,2.1222,Pleasant,Neutral,1,2398.jpg,01F_N.png,01,Female
3,58,6,465.5413,5,2.4443,Unpleasant,Neutral,1,9590.jpg,15F_N.png,15,Female
3,59,2,472.9856,5,2.1995,Pleasant,Fearful,1,8420.jpg,39M_F.png,39,Male
3,60,1,480.185,5,3.2572,Pleasant,Happy,1,2080.jpg,38M_H.png,38,Male
3,61,6,488.4423,5,4.3629,Unpleasant,Neutral,1,9832.jpg,43M_N.png,43,Male
3,62,4,497.8051,5,2.0718,Unpleasant,Fearful,1,9428.jpg,32M_F.png,32,Male
3,63,5,504.8769,5,2.7921,Unpleasant,Happy,1,9426.jpg,11F_H.png,11,Female
3,64,6,512.669,5,3.7405,Unpleasant,Neutral,1,9185.jpg,26M_N.png,26,Male
3,65,5,521.4095,5,2.261,Unpleasant,Happy,1,3180.jpg,29M_H.png,29,Male
3,66,4,528.6705,5,3.2823,Unpleasant,Fearful,1,9295.jpg,09F_F.png,09,Female
3,67,2,536.9528,5,3.3107,Pleasant,Fearful,1,1463.jpg,34M_F.png,34,Male
3,68,3,545.2635,5,2.6026,Pleasant,Neutral,1,2156.jpg,13F_N.png,13,Female
3,69,6,552.8661,5,4.0557,Unpleasant,Neutral,1,9290.jpg,22M_H.png,22,Male
3,70,4,561.9218,5,2.6692,Unpleasant,Fearful,1,9903.jpg,19F_F.png,19,Female
3,71,2,569.591,5,2.0014,Pleasant,Fearful,1,2304.jpg,02F_H.png,02,Female
3,72,1,576.5924,5,10,Pleasant,Happy,1,5551.jpg,13F_F.png,13,Female
4,1,1,10,5,2.8893,Pleasant,Happy,1,1920.jpg,19F_H.png,19,Female
4,2,2,17.8893,5,2.9669,Pleasant,Fearful,1,1460.jpg,10F_F.png,10,Female
4,3,6,25.8562,5,2.1924,Unpleasant,Neutral,1,9330.jpg,13F_N.png,13,Female
4,4,3,33.0486,5,2.8764,Pleasant,Neutral,1,2050.jpg,40M_N.png,40,Male
4,5,5,40.925,5,2.5521,Unpleasant,Happy,1,9145.jpg,38M_H.png,38,Male
4,6,1,48.4771,5,2.004,Pleasant,Happy,1,8210.jpg,10F_H.png,10,Female
4,7,4,55.4811,5,2.4061,Unpleasant,Fearful,1,2301.jpg,36M_F.png,36,Male
4,8,2,62.8871,5,2.7956,Pleasant,Fearful,1,8496.jpg,02F_F.png,02,Female
4,9,1,70.6827,5,2.8855,Pleasant,Happy,1,5829.jpg,36M_H.png,36,Male
4,10,3,78.5682,5,3.4135,Pleasant,Neutral,1,5780.jpg,26M_N.png,26,Male
