Run,Trial,Condition,Onset,Duration,ISI
2,38,6,304.3348,5,3.7016
2,39,5,313.0365,5,2.5252
2,40,1,320.5617,5,2.1362
2,41,1,327.6979,5,2.2518
2,42,3,334.9497,5,5.5861
2,43,2,345.5357,5,2.4592
2,44,4,352.9949,5,3.5498
2,45,3,361.5447,5,3.329
2,46,1,369.8737,5,3.9696
2,47,6,378.8434,5,3.2567
2,48,5,387.1001,5,2.0584
2,49,4,394.1585,5,2.7748
2,50,6,401.9333,5,3.2823
2,51,2,410.2156,5,2.0157
2,52,5,417.2313,5,3.8205
2,53,3,426.0517,5,4.3063
2,54,1,435.3581,5,2.4121
2,55,2,442.7702,5,2.4994
2,56,5,450.2696,5,2.2657
2,57,3,457.5353,5,2.3653
2,58,6,464.9006,5,2.6134
2,59,2,472.5141,5,2.2078
2,60,1,479.7219,5,5.3128
2,61,6,490.0346,5,2.978
2,62,4,498.0127,5,4.5838
2,63,5,507.5965,5,3.6315
2,64,6,516.2279,5,3.6529
2,65,5,524.8809,5,3.3734
2,66,4,533.2543,5,3.2572
2,67,2,541.5116,5,3.7773
2,68,3,550.2889,5,3.0375
2,69,4,558.3264,5,3.2413
2,70,6,566.5677,5,2.7144
2,71,2,574.2821,5,2.4592
2,72,1,581.7413,5,10
3,1,1,10,5,3.6592
3,2,2,18.6592,5,2.9081
3,3,6,26.5673,5,3.1544
3,4,3,34.7217,5,2.5404
3,5,5,42.2621,5,2.658
3,6,1,49.92,5,2.1059
3,7,4,57.0259,5,2.6511
3,8,2,64.677,5,2.3106
3,9,1,71.9876,5,2.8834
3,10,6,79.871,5,4.5838
3,11,3,89.4548,5,2.5543
3,12,5,97.0091,5,2.6722
3,13,4,104.6813,5,2.0844
3,14,3,111.7657,5,4.1544
3,15,6,120.9201,5,3.4067
3,16,2,129.3268,5,3.7009
3,17,5,138.0277,5,2.9949
3,18,4,146.0226,5,2.2078
3,19,1,153.2304,5,2.4654
3,20,6,160.6959,5,2.1156
3,21,2,167.8115,5,4.1
3,22,5,176.9115,5,2.3072
3,23,3,184.2188,5,2.033
3,24,3,191.2518,5,3.9648
3,25,4,200.2166,5,4.0623
3,26,5,209.2789,5,3.7016
3,27,6,217.9805,5,3.4349
3,28,4,226.4154,5,3.1595
3,29,1,234.5749,5,4.7564
3,30,2,244.3313,5,2.3646
3,31,5,251.696,5,2.8893
3,32,3,259.5852,5,2.5862
3,33,4,267.1714,5,2.1009
3,34,1,274.2723,5,2.0502
3,35,2,281.3225,5,2.9949
3,36,3,289.3174,5,3.615
3,37,4,297.9324,5,3.2823
3,38,6,306.2147,5,4.3063
3,39,5,315.521,5,2.6911
3,40,1,323.2121,5,2.0076
3,41,1,330.2198,5,4.1616
3,42,3,339.3814,5,2.7132
3,43,2,347.0946,5,5.5861
3,44,4,357.6807,5,3
3,45,3,365.6807,5,3.5498
3,46,1,374.2305,5,2.4874
3,47,6,381.7179,5,3.3059
3,48,5,390.0238,5,2.3238
3,49,4,397.3476,5,3.0805
3,50,6,405.4281,5,2.0498
3,51,2,412.478,5,2.4075
3,52,5,419.8854,5,3.1448
3,53,3,428.0302,5,2.4226
3,54,1,435.4528,5,3.4135
3,55,2,443.8663,5,2.0498
3,56,5,450.9161,5,2.503
3,57,3,458.4192,5,2.1222
3,58,6,465.5413,5,2.4443
3,59,2,472.9856,5,2.1995
3,60,1,480.185,5,3.2572
3,61,6,488.4423,5,4.3629
3,62,4,497.8051,5,2.0718
3,63,5,504.8769,5,2.7921
3,64,6,512.669,5,3.7405
3,65,5,521.4095,5,2.261
3,66,4,528.6705,5,3.2823
3,67,2,536.9528,5,3.3107
3,68,3,545.2635,5,2.6026
3,69,6,552.8661,5,4.0557
3,70,4,561.9218,5,2.6692
3,71,2,569.591,5,2.0014
3,72,1,576.5924,5,10
4,1,1,10,5,2.8893
4,2,2,17.8893,5,2.9669
4,3,6,25.8562,5,2.1924
4,4,3,33.0486,5,2.8764
4,5,5,40.925,5,2.5521
4,6,1,48.4771,5,2.004
4,7,4,55.4811,5,2.4061
4,8,2,62.8871,5,2.7956
4,9,1,70.6827,5,2.8855
4,10,3,78.5682,5,3.4135
4,11,6,86.9816,5,4.5838
4,12,5,96.5654,5,3.2419
4,13,4,104.8074,5,2.6617
4,14,3,112.4691,5,2.3196
4,15,6,119.7887,5,3.3031
4,16,2,128.0918,5,2.125
4,17,5,135.2168,5,2.2108
4,18,4,142.4276,5,3.4496
4,19,1,150.8772,5,2.3843
4,20,6,158.2615,5,2.5506
4,21,2,165.8121,5,2.0595
4,22,5,172.8715,5,2.5162
4,23,3,180.3877,5,2.5509
4,24,3,187.9387,5,2.5862
4,25,4,195.5248,5,2.4517
4,26,5,202.9765,5,3.4067
4,27,6,211.3832,5,3.9821
4,28,4,220.3653,5,2.7907
4,29,1,228.156,5,2.1642
4,30,2,235.3202,5,3.9509
4,31,5,244.2711,5,2.6911
4,32,3,251.9622,5,2.5198
4,33,4,259.482,5,3.4719
4,34,1,267.9539,5,2.1362
4,35,2,275.0901,5,2.4637
4,36,3,282.5538,5,3.329
4,37,4,290.8828,5,2.6026
4,38,6,298.4854,5,3.7388
4,39,5,307.2243,5,3.7773
4,40,1,316.0016,5,3.7096
4,41,1,324.7112,5,4.7564
4,42,3,334.4676,5,4.3063
4,43,2,343.774,5,3.6627
4,44,4,352.4367,5,2.782
4,45,3,360.2186,5,4.7009
4,46,1,369.9195,5,3.2567
4,47,6,378.1762,5,2.9489
4,48,5,386.1251,5,4.0512
4,49,4,395.1764,5,2.7799
4,50,6,402.9562,5,2.1293
4,51,2,410.0856,5,2.2221
4,52,5,417.3077,5,5.2886
4,53,3,427.5963,5,3.2546
4,54,1,435.8509,5,2.6297
4,55,2,443.4806,5,2.0921
4,56,5,450.5727,5,2.3909
4,57,3,457.9636,5,2.5486
4,58,6,465.5122,5,3.7808
4,59,2,474.2931,5,2.8764
4,60,1,482.1695,5,3.221
4,61,6,490.3905,5,4.9652
4,62,4,500.3557,5,3.1595
4,63,5,508.5152,5,2.6204
4,64,6,516.1356,5,4.4098
4,65,5,525.5454,5,2.152
4,66,4,532.6975,5,2.1009
4,67,2,539.7984,5,3.2418
4,68,3,548.0402,5,2.9949
4,69,4,556.0351,5,3.3107
4,70,6,564.3457,5,2.8579
4,71,2,572.2036,5,2.966
4,72,1,580.1697,5,10
5,1,1,10,5,2.125
5,2,2,17.125,5,2.5843
5,3,6,24.7093,5,2.2328
5,4,3,31.9421,5,2.5204
5,5,5,39.4625,5,2.1552
5,6,1,46.6178,5,2.6504
5,7,4,54.2682,5,2.5162
5,8,2,61.7843,5,2.6685
5,9,1,69.4529,5,3.7773
5,10,6,78.2302,5,2.0466
5,11,3,85.2768,5,3.3664
5,12,5,93.6432,5,2.0076
5,13,4,100.6509,5,2.4226
5,14,3,108.0735,5,2.995
5,15,6,116.0685,5,2.5232
5,16,2,123.5917,5,4.1687
5,17,5,132.7604,5,2.9896
5,18,1,140.75,5,2.9485
5,19,4,148.6985,5,2.9081
5,20,6,156.6066,5,3.3213
5,21,2,164.9279,5,3.3239
5,22,5,173.2518,5,2.4443
5,23,3,180.6961,5,2.2108
5,24,3,187.9069,5,2.4249
5,25,4,195.3319,5,2.6371
5,26,5,202.969,5,2.995
5,27,6,210.964,5,2.5543
5,28,1,218.5183,5,2.2391
5,29,4,225.7574,5,2.982
5,30,2,233.7395,5,2.4237
5,31,5,241.1632,5,4.4816
5,32,1,250.6448,5,3.3989
5,33,3,259.0437,5,3.304
5,34,4,267.3477,5,4.1687
5,35,2,276.5164,5,2.2534
5,36,3,283.7698,5,2.1381
5,37,4,290.9079,5,4.1052
5,38,6,300.0131,5,3.1544
5,39,5,308.1674,5,2.0039
5,40,1,315.1713,5,2.6371
5,41,1,322.8085,5,2.5543
5,42,3,330.3628,5,4.3895
5,43,2,339.7523,5,2.1156
5,44,4,346.8679,5,2.4299
5,45,3,354.2978,5,4.3496
5,46,1,363.6473,5,2.0373
5,47,6,370.6846,5,3.3506
5,48,5,379.0353,5,2.4505
5,49,4,386.4858,5,5.2886
5,50,6,396.7744,5,3.0805
5,51,2,404.8549,5,3.4174
5,52,5,413.2723,5,2.679
5,53,3,420.9513,5,2.7379
5,54,1,428.6892,5,2.1184
5,55,2,435.8077,5,2.2686
5,56,5,443.0762,5,2.4517
5,57,3,450.5279,5,2.7132
5,58,6,458.2412,5,3.6315
5,59,2,466.8726,5,2.9644
5,60,1,474.837,5,2.4249
5,61,6,482.2619,5,2.9081
5,62,4,490.17,5,2.1009
5,63,5,497.271,5,5.2886
5,64,6,507.5596,5,5.1517
5,65,5,517.7113,5,2.4121
5,66,4,525.1234,5,2.8663
5,67,2,532.9897,5,2.4637
5,68,3,540.4534,5,3.5498
5,69,6,549.0032,5,4.9049
5,70,4,558.9081,5,3.5151
5,71,2,567.4232,5,4.3629
5,72,1,576.7861,5,10

